id,format,victory_status,book_moves,opening_name,winner,turns,white_id,white_rating,black_id,black_rating
l1NXvwaE,Blitz,resign,4,Nimzowitsch Defense: Kennedy Variation,black,16,a-00,1322,skinnerua,1261
mIICvQHh,Blitz,mate,3,King's Pawn Game: Leonardis Variation,white,61,ischia,1496,a-00,1500
kWKvrqYL,Classical,mate,3,Queen's Pawn Game: Zukertort Variation,white,61,daniamurashov,1439,adivanov2009,1454
9tXo1AUZ,Classical,mate,5,Philidor Defense,white,95,nik221107,1523,adivanov2009,1469
qwU9rasv,Rapid,resign,10,Blackmar-Diemer Gambit: Pietrowsky Defense,white,33,capa_jr,1520,daniel_likes_chess,1423
dwF3DJHO,Rapid,resign,6,Italian Game: Schilling-Kostic Gambit,black,66,ehabfanri,1439,daniel_likes_chess,1392
afoMwnLg,Rapid,mate,4,Scandinavian Defense: Mieses-Kotroc Variation,white,119,daniel_likes_chess,1381,mirco25,1209
UhXXBOMY,Rapid,resign,4,English Opening: King's English Variation |  Reversed Closed Sicilian,white,36,robotsmoke,1307,shivangithegenius,1106
mCij4hBq,Rapid,resign,3,Sicilian Defense: Smith-Morra Gambit #2,black,13,shivangithegenius,1113,ivangonzalez123,1423
ifUMWtVj,Rapid,mate,4,Queen's Pawn Game: Chigorin Variation,white,69,shivangithegenius,1078,sureka_akshat,1219
Wf0zuLQQ,Rapid,resign,8,Scotch Game: Haxo Gambit,white,43,gmcarlsen403,1825,shivangithegenius,1079
srz9QfSN,Rapid,mate,4,Queen's Pawn Game: Chigorin Variation,black,54,mannat1,1328,shivangithegenius,1038
NS6ccssb,Rapid,resign,4,Slav Defense,black,53,shivangithegenius,1056,biyanivedant01,1156
M3vpf2Ki,Rapid,mate,4,Queen's Gambit Refused: Marshall Defense,black,66,shivangithegenius,1077,chinmaysharma,1148
fXhNOnOn,Rapid,resign,3,Sicilian Defense: Smith-Morra Gambit #2,black,64,biyanivedant01,1358,shivangithegenius,1036
DiCTkvZH,Rapid,mate,6,Sicilian Defense: Canal Attack |  Main Line,black,64,rv0209,1200,shivangithegenius,1002
FSkgvV2E,Rapid,resign,3,Sicilian Defense,white,54,vihaandumir,1203,shivangithegenius,1019
lHNM8cl5,Rapid,resign,4,Robatsch (Modern) Defense,black,19,shivangithegenius,976,sorethea,1832
GfeEgLV3,Rapid,resign,10,Blackmar-Diemer Gambit: Tartakower Variation,white,28,rico21,1569,shivangithegenius,978
PBS4FEld,Rapid,resign,2,Zukertort Opening: Ross Gambit,white,8,wing175,1521,gerfsh,1162
0lDqWVlz,Blitz,resign,3,Sicilian Defense: Closed Variation,white,3,caramiecho72,1407,gerfsh,1500
O3wdIwg7,Rapid,resign,5,Vienna Game: Mengarini Variation,white,28,mazyaraghgmail,1492,wpc96,1458
48ktrxLp,Rapid,resign,8,Philidor Defense: Larsen Variation,black,30,anrk,1414,wpc96,1442
i2GBGO0R,Rapid,resign,5,Scotch Game,black,44,wpc96,1457,tbaruel,1294
QZSTu1aT,Rapid,resign,6,Philidor Defense: Lopez Countergambit,white,29,acahn,1525,wpc96,1466
9tU9MM6P,Blitz,resign,3,French Defense: Knight Variation,black,37,iskendermyucel,1207,oldpaths,1579
ztpC1S2c,Blitz,resign,2,Modern Defense,white,49,oldpaths,1567,david1488,1573
qc8aH5XL,Blitz,resign,2,Horwitz Defense,black,32,oldpaths,1578,lc777,1605
6sTz6t7D,Blitz,resign,6,Blumenfeld Countergambit #2,white,25,jordanfury,1939,oldpaths,1581
XuyVUkDi,Blitz,mate,2,French Defense #2,black,40,porquepepe,1618,oldpaths,1568
D5Oa4vGO,Blitz,resign,2,Zukertort Opening: Kingside Fianchetto,white,39,gio1212,1755,oldpaths,1574
6QAiH2Yy,Rapid,resign,2,Indian Game,white,57,oldpaths,1561,rubberchicken04,1596
l7top9ps,Blitz,resign,3,French Defense: Queen's Knight,black,78,berejokserg,1500,oldpaths,1554
nG3Of11I,Rapid,resign,3,Queen's Pawn Game: Mason Attack,white,61,oldpaths,1544,trump216bc,1461
cUzM68JF,Classical,resign,3,Queen's Pawn Game: Mason Attack,black,44,oldpaths,1563,efer003,1335
NZSBXWl2,Classical,mate,2,Queen's Pawn,black,62,oldpaths,1579,fcolpo,1470
DHuXFP6C,Classical,mate,2,Indian Game,white,87,chesschumpchamp,1617,oldpaths,1590
00R4UOcU,Classical,mate,7,French Defense: Advance |  Steinitz Variation,black,54,aminox,1207,oldpaths,1588
IN15cBnB,Rapid,resign,3,Queen's Pawn Game: Mason Attack,black,54,oldpaths,1595,sale0706,1547
WYOts2ME,Rapid,resign,5,French Defense: Exchange Variation,white,37,redar1,1855,oldpaths,1599
oWFQ8mnz,Rapid,resign,2,Horwitz Defense,white,50,oldpaths,1589,insequitur,1547
i2I8y9Xh,Classical,resign,5,Queen's Pawn Game: London System,white,131,oldpaths,1571,tb-123,1728
osPCRdxJ,Classical,resign,3,French Defense: Chigorin Variation,white,48,tb-123,1720,oldpaths,1579
Mi1AmkiI,Rapid,resign,5,Queen's Pawn Game: London System,black,47,oldpaths,1579,iris_foxspring,2105
7kK30TmL,Rapid,mate,3,French Defense: La Bourdonnais Variation,black,64,zoro55,1768,oldpaths,1560
ThCXomTn,Rapid,resign,3,Queen's Pawn Game: Mason Attack,white,61,oldpaths,1552,geburah,1436
4dH72B3d,Rapid,mate,5,Queen's Pawn Game: London System,white,57,oldpaths,1536,urmil007,1667
4jRtIZTy,Rapid,resign,2,English Opening: Anglo-Lithuanian Variation,white,51,serai,1521,oldpaths,1549
wNK2HdLb,Rapid,mate,3,Crab Opening,black,58,allahdeweswin,1251,oldpaths,1545
d62Tg4dc,Rapid,resign,3,Queen's Pawn Game: Mason Attack,white,71,oldpaths,1537,antoniogallero,1408
TaSQfvww,Rapid,resign,1,Queen's Pawn,white,114,oldpaths,1522,matheuswillx,1512
Xwpzq87m,Rapid,resign,11,French Defense: Winawer Variation |  Advance Variation #2,white,39,euler_jr,1602,oldpaths,1532
AHmgnsKz,Rapid,resign,5,Queen's Pawn Game: London System,black,20,oldpaths,1543,euler_jr,1593
MfNml1rl,Classical,resign,3,Queen's Pawn Game: Mason Attack,black,48,oldpaths,1556,krillnor,1539
mEAvshF2,Classical,mate,3,French Defense: Knight Variation,black,34,hoanghieudro2,1409,oldpaths,1548
ySsVdRfw,Classical,resign,5,Queen's Pawn Game: London System,white,51,oldpaths,1539,hoanghieudro2,1418
ylLqmXwb,Classical,resign,3,French Defense: Queen's Knight,white,69,ehabhaddad,1603,oldpaths,1550
8mceLIXN,Classical,resign,4,Queen's Pawn Game: Steinitz Countergambit,white,28,oldpaths,1542,gabrielsol,1399
YmJpuJkM,Classical,resign,5,Queen's Pawn Game: London System,black,62,oldpaths,1546,crushmik,1877
PNNfempy,Classical,mate,4,Queen's Indian Defense,black,62,amary33,1134,oldpaths,1535
TVfozmF5,Classical,mate,2,Horwitz Defense,white,85,oldpaths,1513,remisero,1784
4LX77G3m,Classical,resign,5,Queen's Pawn Game: London System,white,38,oldpaths,1501,ryan94,1445
h1unxHlo,Rapid,draw,4,Queen's Gambit Refused: Marshall Defense,draw,113,avelez8,1745,anonymous1705,1714
OIyTAHCP,Rapid,resign,4,Queen's Gambit Refused: Marshall Defense,white,62,avelez8,1734,ars01,1748
bnCnIJSz,Rapid,resign,6,French Defense: Marshall Variation,white,101,salah04,1942,avelez8,1739
ZzWyY1f8,Rapid,outoftime,7,Scotch Game,white,75,avelez8,1724,vincenzo2000,1855
mkKSL3Ev,Rapid,mate,11,French Defense: Advance Variation |  Main Line,white,135,majid_alsalhi,1951,avelez8,1729
aVwWNjNR,Rapid,outoftime,5,Philidor Defense,white,81,avelez8,1726,pavankumarg,1388
DNUmSBH4,Rapid,resign,6,Gruenfeld Defense,black,46,avelez8,1735,mrmaccc,1806
Tlng5eqN,Rapid,mate,3,French Defense: Knight Variation,black,70,hopefullman15,1597,avelez8,1728
wljkejE0,Rapid,resign,10,French Defense: Rubinstein Variation |  Fort Knox Variation,white,39,laeca53,1743,avelez8,1738
iNZuj8bY,Rapid,resign,7,Queen's Gambit Declined: Traditional Variation,white,91,totoymate,1721,avelez8,1750
Kan2JKOp,Rapid,outoftime,5,Queen's Gambit Accepted: Old Variation,white,137,avelez8,1746,frynoodles,1487
bCUwPEJ7,Rapid,resign,9,French Defense: Advance Variation |  Paulsen Attack,black,46,jdalcheco,1744,avelez8,1735
zTwM10Si,Rapid,resign,9,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,black,18,avelez8,1749,yolandoparada,1631
PBQ5Il7e,Rapid,resign,5,Queen's Gambit Accepted: Old Variation,black,28,avelez8,1769,murattibogurcu,1396
z1LTn4pe,Blitz,resign,5,Yusupov-Rubinstein System,black,40,cdvh,1795,hunecel,1760
7NKtCk3B,Rapid,mate,5,Queen's Gambit Declined: Queen's Knight Variation,white,111,hafedfree,1729,cdvh,1795
TMtvbg3w,Rapid,mate,6,Ruy Lopez: Classical Variation,black,54,decem,1795,cdvh,1784
0OXPfTEt,Rapid,resign,3,Queen's Pawn Game: Zukertort Variation,white,33,cdvh,1770,japcan,1872
YzMf40DM,Rapid,resign,5,Queen's Pawn Game: London System,black,90,cdvh,1783,raubstein,1721
q3NHAFFp,Rapid,resign,7,Ruy Lopez: Classical Variation |  Central Variation,black,90,ashishbarda,1884,cdvh,1768
Gz7Icasx,Rapid,mate,5,Bishop's Opening: Ponziani Gambit,black,40,omid163,1756,cdvh,1756
3n4poRIX,Blitz,outoftime,5,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,white,49,cdvh,1724,capito2017,1958
XRuQPSzH,Rapid,resign,6,King's Indian Attack: French Variation,black,50,chess-brahs,2036,cdvh,1706
XPZikam7,Rapid,mate,5,Queen's Pawn Game: London System,white,59,cdvh,1706,dashy1,925
5SNh53F9,Rapid,outoftime,4,Nimzowitsch Defense: Mikenas Variation,black,26,mosheaugustyn,1244,sassou,1219
ezdEKpqG,Rapid,mate,5,Italian Game,white,23,sassou,1215,memoryberat,921
WyQjriEX,Rapid,mate,5,Alekhine Defense #2,black,118,fatmat,1350,sassou,1201
vAOIY0jj,Rapid,mate,4,Sicilian Defense: Nimzowitsch Variation,black,66,sassou,1210,alpheus23,1280
gHld9WSr,Rapid,draw,8,Four Knights Game: Italian Variation,draw,120,sureka_akshat,1139,sassou,1212
dh2xQb3X,Rapid,mate,11,Italian Game: Two Knights Defense |  Fried Liver Attack,black,36,sassou,1220,kapi77,1341
TKwuIzb6,Rapid,mate,6,Italian Game: Anti-Fried Liver Defense,black,26,sassou,1234,cohiba_313,1359
s752sCLr,Rapid,resign,11,Italian Game: Two Knights Defense |  Fried Liver Attack,black,62,sassou,1275,bagelsfu,1236
lKYmVLZt,Rapid,resign,3,Alekhine Defense: Maroczy Variation,white,37,sabayossi,1433,sassou,1282
dRhehsEy,Rapid,resign,4,Queen's Gambit Refused: Marshall Defense,black,24,trelynn17,1132,sassou,1276
ahwTovI0,Rapid,resign,7,Alekhine Defense: Two Pawn Attack |  Lasker Variation,black,37,laeufer26,1228,sassou,1266
fgK91ojo,Rapid,resign,5,Caro-Kann Defense: Exchange Variation,black,24,sassou,1273,popsun,1409
Cmhkui8U,Rapid,resign,3,Queen's Pawn Game #2,white,9,mdaboczi,1338,sassou,1277
TRpFAEWd,Rapid,mate,8,Sicilian Defense: Modern Variations |  Main Line,white,47,sassou,1263,marktop1,1336
btHFH9xr,Rapid,mate,2,English Opening: King's English Variation,white,85,rougethunder,1316,sassou,1273
G9xaiPFl,Rapid,mate,2,Goldsmith Defense,white,39,sassou,1248,shobik24,1253
RkMlSx4r,Rapid,mate,6,Nimzo-Indian Defense,black,58,maninayebi,1335,sassou,1233
Z1CTghfR,Rapid,mate,11,Italian Game: Two Knights Defense |  Fried Liver Attack,white,95,sassou,1223,agilm,1189
X4QqWp8Q,Rapid,resign,2,Alekhine Defense,black,2,pune123,1443,sassou,1204
R6dF4yRx,Rapid,mate,4,Queen's Gambit Refused: Marshall Defense,white,97,failedocean,1227,sassou,1216
PLxCc87r,Rapid,draw,5,Italian Game,draw,12,sassou,1215,lumipa,1219
p7a4FGwp,Rapid,resign,8,Four Knights Game: Italian Variation,white,30,fastandbulbous420,1227,sassou,1227
3udM9T6k,Rapid,mate,8,Bogo-Indian Defense: Exchange Variation,white,43,minimouf,1550,sassou,1225
hkMNenrh,Rapid,resign,2,Alekhine Defense,white,11,goodolddaystr,1325,sassou,1234
jrmlULM0,Rapid,mate,5,Alekhine Defense: Saemisch Attack,black,72,gonzalogp98,1212,sassou,1221
JbLparSt,Rapid,mate,3,King's Knight Opening,black,156,sassou,1226,vladimir_shindin,1478
mqZFkCf3,Classical,resign,4,Queen's Gambit Declined,black,18,sassou,1228,martin74,1626
MgL176RS,Classical,resign,5,Alekhine Defense: Two Pawn Attack,black,32,quent0,1422,sassou,1210
V16nc5AF,Rapid,resign,5,Vienna Game: Vienna Gambit,white,35,dangerflaps,1186,sassou,1223
GT8TdRlm,Rapid,mate,2,Modern Defense,white,85,sassou,1212,shazzam9999,1212
2P2u5f63,Rapid,resign,6,Scandinavian Defense: Panov Transfer,black,50,sassou,1228,chessn00b47,1343
15nlkNRf,Rapid,resign,5,Yusupov-Rubinstein System,white,111,japonxino,1865,isachess,1862
xwl41jna,Blitz,outoftime,5,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,white,65,isachess,1852,roshan_ie,1852
1zRjgcqm,Rapid,resign,4,Benoni Defense,white,73,cliff_walker,1833,isachess,1863
vfnLULoh,Rapid,resign,4,Sicilian Defense: Hyperaccelerated Dragon,white,125,isachess,1851,sergej1956,1918
ut6LIGPI,Rapid,resign,6,Italian Game: Anti-Fried Liver Defense,black,76,isachess,1861,pogrib,1844
1KbSJtjs,Rapid,outoftime,6,Ruy Lopez: Berlin Defense #2,white,65,isachess,1853,tartetatin,1774
cqrATt9o,Rapid,mate,11,Sicilian Defense: Najdorf |  Lipnitsky Attack,white,41,juncinmestrella,1910,isachess,1862
deKfSOPy,Rapid,resign,3,French Defense: Knight Variation,white,59,isachess,1851,robinhood76,1890
vQ1psjxd,Rapid,resign,5,Sicilian Defense: Delayed Alapin,black,70,tohaimr7,1860,isachess,1840
k1qV5HHz,Classical,resign,5,Sicilian Defense: Canal-Sokolsky Attack,white,34,zpectral-chess,1828,isachess,1848
QQ3iIM2V,Blitz,outoftime,1,Amar Opening,white,69,javier_temperley,1855,isachess,1858
GppFo58m,Rapid,resign,8,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,white,63,isachess,1847,jadesummer,1895
BoDJGVyk,Rapid,resign,4,Sicilian Defense,white,107,jadesummer,1885,isachess,1856
tqirXAEm,Classical,resign,1,Queen's Pawn,white,58,isachess,1847,borvel,1802
3eLsB99C,Rapid,outoftime,3,Sicilian Defense: Alapin Variation,black,100,demetrio50,1840,isachess,1837
M6zMVwqK,Blitz,resign,4,Sicilian Defense: French Variation,black,80,isachess,1848,maxpiz5,1806
yrQWTJVz,Rapid,resign,3,French Defense: Knight Variation,black,44,isachess,1860,philiveykk,1820
aF6DiZZe,Rapid,outoftime,3,Paleface Attack,black,40,azcatdave,1854,isachess,1849
0dm3RaQv,Rapid,outoftime,4,Sicilian Defense,white,105,fikr,1895,isachess,1859
BxxAvvER,Rapid,resign,6,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,black,50,isachess,1866,samdooley,1965
oaKcGCrO,Rapid,resign,6,Ruy Lopez: Bird Variation,black,69,isachess,1877,dzigibau,1860
xMezmOBz,Blitz,mate,11,Sicilian Defense: Najdorf Variation |  Adams Attack,white,77,edil1800,1849,isachess,1874
46AuHfcq,Blitz,mate,6,Blumenfeld Countergambit #2,black,158,humb,1835,isachess,1865
A7ddojjI,Rapid,draw,7,Italian Game: Two Knights Defense |  Modern Bishop's Opening,draw,107,isachess,1866,claudiucojo,1835
