game_id,format,player_id,player_rating,opening_name,book_moves,turns,result,rating_difference,player_level
l1NXvwaE,Blitz,a-00,1322,Nimzowitsch Defense: Kennedy Variation,4,16,Lost,61,intermediate
mIICvQHh,Blitz,ischia,1496,King's Pawn Game: Leonardis Variation,3,61,Won,-4,intermediate
kWKvrqYL,Classical,daniamurashov,1439,Queen's Pawn Game: Zukertort Variation,3,61,Won,-15,intermediate
9tXo1AUZ,Classical,nik221107,1523,Philidor Defense,5,95,Won,54,intermediate
qwU9rasv,Rapid,capa_jr,1520,Blackmar-Diemer Gambit: Pietrowsky Defense,10,33,Won,97,intermediate
dwF3DJHO,Rapid,ehabfanri,1439,Italian Game: Schilling-Kostic Gambit,6,66,Lost,47,intermediate
afoMwnLg,Rapid,daniel_likes_chess,1381,Scandinavian Defense: Mieses-Kotroc Variation,4,119,Won,172,intermediate
UhXXBOMY,Rapid,robotsmoke,1307,English Opening: King's English Variation |  Reversed Closed Sicilian,4,36,Won,201,intermediate
mCij4hBq,Rapid,shivangithegenius,1113,Sicilian Defense: Smith-Morra Gambit #2,3,13,Lost,-310,beginner
ifUMWtVj,Rapid,shivangithegenius,1078,Queen's Pawn Game: Chigorin Variation,4,69,Won,-141,beginner
Wf0zuLQQ,Rapid,gmcarlsen403,1825,Scotch Game: Haxo Gambit,8,43,Won,746,intermediate
srz9QfSN,Rapid,mannat1,1328,Queen's Pawn Game: Chigorin Variation,4,54,Lost,290,intermediate
NS6ccssb,Rapid,shivangithegenius,1056,Slav Defense,4,53,Lost,-100,beginner
M3vpf2Ki,Rapid,shivangithegenius,1077,Queen's Gambit Refused: Marshall Defense,4,66,Lost,-71,beginner
fXhNOnOn,Rapid,biyanivedant01,1358,Sicilian Defense: Smith-Morra Gambit #2,3,64,Lost,322,intermediate
DiCTkvZH,Rapid,rv0209,1200,Sicilian Defense: Canal Attack |  Main Line,6,64,Lost,198,intermediate
FSkgvV2E,Rapid,vihaandumir,1203,Sicilian Defense,3,54,Won,184,intermediate
lHNM8cl5,Rapid,shivangithegenius,976,Robatsch (Modern) Defense,4,19,Lost,-856,beginner
GfeEgLV3,Rapid,rico21,1569,Blackmar-Diemer Gambit: Tartakower Variation,10,28,Won,591,intermediate
PBS4FEld,Rapid,wing175,1521,Zukertort Opening: Ross Gambit,2,8,Won,359,intermediate
0lDqWVlz,Blitz,caramiecho72,1407,Sicilian Defense: Closed Variation,3,3,Won,-93,intermediate
O3wdIwg7,Rapid,mazyaraghgmail,1492,Vienna Game: Mengarini Variation,5,28,Won,34,intermediate
48ktrxLp,Rapid,anrk,1414,Philidor Defense: Larsen Variation,8,30,Lost,-28,intermediate
i2GBGO0R,Rapid,wpc96,1457,Scotch Game,5,44,Lost,163,intermediate
QZSTu1aT,Rapid,acahn,1525,Philidor Defense: Lopez Countergambit,6,29,Won,59,intermediate
9tU9MM6P,Blitz,iskendermyucel,1207,French Defense: Knight Variation,3,37,Lost,-372,intermediate
ztpC1S2c,Blitz,oldpaths,1567,Modern Defense,2,49,Won,-6,intermediate
qc8aH5XL,Blitz,oldpaths,1578,Horwitz Defense,2,32,Lost,-27,intermediate
6sTz6t7D,Blitz,jordanfury,1939,Blumenfeld Countergambit #2,6,25,Won,358,intermediate
XuyVUkDi,Blitz,porquepepe,1618,French Defense #2,2,40,Lost,50,intermediate
D5Oa4vGO,Blitz,gio1212,1755,Zukertort Opening: Kingside Fianchetto,2,39,Won,181,intermediate
6QAiH2Yy,Rapid,oldpaths,1561,Indian Game,2,57,Won,-35,intermediate
